Id,source,title,article,page_rank,timestamp
30,Yahoo,"In Minn., a poetry slam with a twist \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/entertainment/*http://news.yahoo.com/s/ap/20070211/ap_en_ot/victorian_slam""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20070211/capt.mnjm10102110538.victorian_slam_mnjm101.jpg?x=130&y=87&sig=ZQMQL0sjjO4cvAJy43YJ7A--"" align=""left"" height=""87"" width=""130"" alt=""Craig Johnson, left, performs during poetry reading with Ann Brueggeman, center, and Laura Salveson Saturday night, Feb. 10, 2007 in St. Paul, Minn., as slam poetry got a not-so-fresh treatment from the three Victorian era re-enactors during a Victorian poetry slam. (AP Photo/Jim Mone)"" border=""0"" /></a>AP - Slam poetry got a fresh twist when three Victorian-era re-enactors read from such poets as William Wordsworth and Emily Dickinson in a setting that was fitting for the event &#151; a 19th-century stone mansion.</p><br clear=""all""/>",5,2007-02-11 10:51:37
31,BBC,Nigerian fuel strike to go ahead,Nigeria's general strike is set to go ahead on Tuesday despite the government's decision to reduce the price of cooking fuel.,5,0000-00-00 00:00:00
32,Yahoo,"British govt wants answers on soaring energy bills: report \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20080107/wl_uk_afp/britainpoliticsenergyconsumer""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080107/capt.sge.qat68.070108012801.photo00.photo.default-341x512.jpg?x=86&y=130&q=85&sig=Bh8Uu6CtL_ibp7n23PSB6w--"" align=""left"" height=""130"" width=""86"" alt=""Britain's Finance Minister Alistair Darling has called for a meeting with the country's energy regulator amid concern at steep rises in domestic fuel prices, British newspapers said Monday.(AFP/File/Shaun Curry)"" border=""0"" /></a>AFP - Britain's finance minister Alistair Darling has called for a meeting with the country's energy regulator amid concern at steep rises in domestic fuel prices, British newspapers said Monday.</p><br clear=""all""/>",5,2008-01-07 02:55:15
33,Reuters,"""Al Qaeda"" invoked in U.S. embassy Jakarta threat","JAKARTA (Reuters) - A bomb threat against the U.S. Embassy in Jakarta on Thursday was conveyed to authorities by a pair of cell phone text messages signed, ""al Qaeda,"" local officials said.",5,2007-03-01 08:29:20
34,Time,Indian Company Top Bidder for Jaguar,"An Indian car maker that will unveil the world's cheapest car next week may soon produce two of the world's premier brands as well<img src=""http://feeds.feedburner.com/~r/time/topstories/~4/210742561"" height=""1"" width=""1""/>",5,2008-01-03 22:58:25
35,Australian,Call for action on antibiotics,WASHINGTON: World Health Organisation and US medical experts warn that the increasing ability of bacteria to resist antibiotics threatens the existing arsenal of drugs against dangerous infectious diseases.,5,0000-00-00 00:00:00
36,RedNova,Vision Solutions Announces High Availability Assessment and Readiness Audits for IBM System I; Vision's HA Assessment Software and Process Identify a Clear Path for Protecting Critical Applications and Information,"Vision Solutions, a leading high availability (HA) solution provider to the Global 5000, has announced the ORION(TM) Assessment program for IBM's ""all-in-one"" System i business computing platform.",4,2006-09-18 18:02:43
37,RedNova,Prosperity Studios Announces Chapter 1 - The President's Legacy - Hope on AFRICA,"This Chapter of the video discusses that the HIV/AIDS pandemic in Africa has escalated. Ambassador Hope was the first to advise Capital Hill on a large scale Program to reverse the pandemic and support the orphans.  Prosperity Studios, Inc.",4,2007-06-22 17:07:55
38,Yahoo,European Shares Open Steady (Reuters),"Reuters - European shares opened steady on Tuesday\
after the main U.S. fourth quarter earnings season got off to a\
lackluster start overnight and chipmaker STMicroelectronics\
fell after warning on margins.",5,0000-00-00 00:00:00
39,Yahoo,"Kids see too many anti-impotence ads: doctors \
    (Reuters)\
","Reuters - Children should be exposed to fewer \
television ads for anti-impotence drugs and more for birth \
control, and need to be shielded from an advertising onslaught \
in general, the leading U.S. pediatricians' group said on \
Monday.",5,2006-12-04 08:29:49
40,Forbes,Cognos 2Q Profit Rises Sharply,"Software developer Cognos Inc. on Wednesday posted a 52 percent rise in second-quarter profit, topping Wall Street expectations on a surge in license revenue across all of its regions, the company said.",5,0000-00-00 00:00:00
41,Yahoo,"Karzai angered by Afghan civilian casualties \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/afp/20070623/wl_afp/afghanistanunrestcivilian""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20070623/capt.sge.qfg51.230607164715.photo00.photo.default-347x512.jpg?x=88&y=130&sig=jJdzXL2UiFniJ1raq029SA--"" align=""left"" height=""130"" width=""88"" alt=""Afghan President Hamid Karzai speaks during a press conference at the Presidential Palace in Kabul. Karzai angrily criticised Saturday &quot;indiscriminate and unprecise&quot; operations by NATO- and US-led forces in Afghanistan, which he said had killed 90 civilians in just over a week.(AFP/Massoud Hossaini)"" border=""0"" /></a>AFP - President Hamid Karzai angrily criticised Saturday &quot;indiscriminate and unprecise&quot; operations by NATO- and US-led forces in Afghanistan, which he said had killed 90 civilians in just over a week.</p><br clear=""all""/>",5,2007-06-23 19:40:20
42,Xinhua,NFL &quot;Minister of Defense&quot; Reggie White dies,"NFL &quot;Minister of Defense&quot; Reggie White died Sunday morning at his home in Huntersville, North Carolina, only seven days after his 43rd birthday.",5,2004-12-27 08:33:34
43,CNN,Kathmandu bomb injures 12,"At least a dozen people were injured Tuesday when a powerful bomb went off in the Nepalese capital, Kathmandu. Police attributed the blast to Maoist rebels who have waged an eight-year insurgency in the Himalayan state.",5,2004-11-09 14:40:15
44,WOKR-TV,Injured Woman Thanks Hospital Staff In Virginia,"(Fairfax, VA) 12/08/04 -- In 2003, Daphne Gipson was nearly killed when a boulder was thrown onto her car on a Virginia highway. On Tuesday, she returned to Fairfax, Virginia to thank the staff at Inova Fairfax Hospital.",5,0000-00-00 00:00:00
45,Reuters,Farm law overhaul has revenue guarantee,"WASHINGTON (Reuters) - Congress wants to weave a ""revenue protection"" strand into the U.S. farm safety net, a signal change in policy, in the $286 billion farm bill that is one step from final passage, expected in early 2008.",5,2007-12-15 02:17:34
46,Motley,The One Stock You Must Buy,"It's out there waiting for you.\
<p><a href=""http://feeds.fool.com/~a/usmf/foolwatch?a=AgH1AM""><img src=""http://feeds.fool.com/~a/usmf/foolwatch?i=AgH1AM"" border=""0""></img></a></p><img src=""http://feeds.fool.com/~r/usmf/foolwatch/~4/202392573"" height=""1"" width=""1""/>",5,2007-12-19 00:03:17
47,Yahoo,"FDA approves test for tropical parasite \
    (AP)\
","AP - The first test to screen potential blood donors for a tropical disease that has stealthily infected as many as 100,000 Hispanic immigrants gained federal approval Wednesday.",5,2006-12-13 18:42:56
48,Reuters,West Japan on Guard for Aftershocks After Quakes,"Japanese authorities warned of possible aftershocks after two strong earthquakes hit western Japan on Sunday, but said the tremors were not directly linked to the sort ",5,0000-00-00 00:00:00
49,Bloomberg,Dow Jones Agrees to Buy MarketWatch to Triple Online Readership,"Dow Jones &amp; Co., publisher of the Wall Street Journal, agreed to purchase MarketWatch Inc. for about $519 million to triple its readership on the Internet and boost advertising sales.",5,0000-00-00 00:00:00
50,CNN,Starbucks sales slowest in 15 months,Starbucks Corp. Wednesday posted its smallest monthly same-store sales increase since May of last year as a string of hurricanes slowed traffic into the coffee shop chain.,5,2004-10-07 20:49:38
51,BBC,Waits for hearing aids 'too long',"Some people in England are facing waits of nearly two-and-a-half years for a hearing aid, the RNID says.",5,2007-12-30 04:51:39
52,Reuters,"Istanbul device explodes, injuring two: TV","ISTANBUL (Reuters) - Two people were lightly injured when a small device exploded in Turkey's largest city Istanbul on Tuesday, CNN Turk television said, quoting Dogan News Agency.",5,2007-12-25 21:51:19
53,Yahoo,"England rugby hopeful Cipriani on a steep learning curve \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20080122/wl_uk_afp/rugbyueng6nations""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080122/capt.sge.akg97.220108043711.photo00.photo.default-337x512.jpg?x=85&y=130&q=85&sig=hKuSPu6mQmIUTGV.eJ.F2Q--"" align=""left"" height=""130"" width=""85"" alt=""England hopeful Danny Cipriani, pictured here in August 2007, admits he is on a steep learning curve as he tries to oust Jonny Wilkinson from the number ten jersey for the Six Nations opener against Wales on February 2.(AFP/File/Bertrand Langlois)"" border=""0"" /></a>AFP - England hopeful Danny Cipriani admits he is on a steep learning curve as he tries to oust Jonny Wilkinson from the number ten jersey for the Six Nations opener against Wales on February 2.</p><br clear=""all""/>",5,2008-01-22 08:21:19
54,ABC,SC Assistants Asked to Stay on Staff,"South Carolina&#39;s new football coach Steve Spurrier gestures during a news conference Tuesday, Nov. 23, 2004, at Williams-Brice Stadium in Columbia, SC (AP Photo/Mary Ann Chastain).",5,2004-11-25 00:26:18
55,BBC,Mississippi murder trial date set,A segregationist preacher accused of the notorious 1964 murders of three US civil rights workers will go on trial in March.,5,2005-01-12 23:40:14
56,CNN,Navigating the holiday dessert table,\N,5,2004-12-14 22:30:50
57,Washington," Job Growth Slows, Unemployment Rate Dips "," WASHINGTON -- Employers added just 51,000 jobs in September, the fewest in almost a year, while the unemployment rate dropped down to 4.6 percent _ offering a mixed picture of the nation's jobs climate. ",5,2006-10-06 17:43:23
58,Reuters,Clint Eastwood's Iwo Jima film resonates in Japan,"TOKYO (Reuters) - Hiromasa Murakami went to see Clint Eastwood's ""Letters from Iwo Jima"" to find out if an American could tell the Japanese side of a battle that became a symbol of U.S. patriotism, but for Japan was a bitter memory of defeat.",5,2006-12-09 23:26:09
59,Daily,Laptops â threat to male fertility,"Traditionally drug use, alcohol, smoking and obesity have been credited with lowering male sperm counts and increasing the risk of infertility.",5,2004-12-11 00:55:09
60,BBC,Italian left demands work reform,Tens of thousands of people from across Italy march in Rome to demand work and pension reforms.,5,2007-10-20 20:33:33
61,Yahoo,"18 years on, Berlin tries to save crumbling remains of Wall \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/europe/*http://news.yahoo.com/s/afp/20071108/ts_afp/germanyhistorycommunismwall""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20071108/capt.sge.sge56.081107065543.photo00.photo.default-512x341.jpg?x=130&y=86&sig=zMoTaTGAyf9xYGtlxCU3Xw--"" align=""left"" height=""86"" width=""130"" alt=""View of the so-called East Side Gallery, a 1,3 km-long portion of the Berlin wall, in December 2004. This particular stretch of the wall was taken over by artists who decorated the yet untouchable eastern side with artwork and political statements after the wall was taken down in 1989-1990.(AFP/File/John Macdougall)"" border=""0"" /></a>AFP - Eighteen years after the Berlin Wall fell on November 9, 1989, Germans are battling to preserve the last remnants of a barrier that still haunts the country.</p><br clear=""all""/>",5,2007-11-08 12:21:44
62,Canada.com,Discovery of potential stem cells could help those suffering from <b>...</b>,"TORONTO (CP) - A group of Canadian researchers has made a discovery of potential stem cells in the pancreas, a finding that could not only one day lead to new treatments for diabetes but also change the way scientists understand the way cells develop.",5,0000-00-00 00:00:00
63,New,A.P. Says It Wants to Know Everything About Britney Spears,"As the wire service boosts its entertainment news coverage, its L.A. bureau chief declares everything involving Britney Spears is âa big deal.â",5,2008-01-14 08:01:18
64,Washington,IAAF to Consider Investigating Sprinter Jones,"Responding to new allegations of drug use by sprint star Marion Jones, the world governing body of track and field (IAAF) will consider today whether to conduct a formal investigation of Jones, an IAAF official said yesterday.",5,0000-00-00 00:00:00
65,CNET,Acquired: Facebook snatches up Parakey,"Blog: Facebook acquired Parakey, a web OS startup created by Firefox's co-founders.",3,2007-07-20 17:46:01
66,Pravda,British MPs accepted Mr Blunkettâs resignation with regret,British Home Secretary David Blunkett resigned tonight after an e-mail emerged showing that a visa application for his ex-lover&#39;s nanny had been fast-tracked by his office.,5,2004-12-16 01:37:18
67,Reuters,NY fireman still haunted by 9/11, NEW YORK (Reuters) - The faces of people trapped behind   windows high up in the World Trade Center just before it   collapsed five years ago still haunt Michael Puzziferri but the   image has only stiffened his resolve as a New York firefighter.,5,2006-09-05 21:47:29
68,BBC,DiCaprio leads stars at premiere,Princesses Beatrice and Eugenie meet heartthrob Leonardo DiCaprio at the premiere of The Aviator.,5,0000-00-00 00:00:00
69,Reuters,Stocks drop on economic fears,"NEW YORK (Reuters) - Stocks fell sharply after data showed factory activity contracted in December to its weakest since April 2003, underscoring worries about the economic slowdown.",5,2008-01-02 17:21:44
70,Apple,"New iMac âslimmer, sleeker, and significantly fasterâ","âWhat was arguably the best desktop computer on the market for the average consumer is slimmer, sleeker, and significantly faster,â says Mike Wendland (Detroit Free Press) of the new models of the iMac. And âperhaps best of all,â he notes, the iMac is less expensiveââby $200 to $300, depending on the model.â Wendland touts the new display:  âIts glossy glass finish means colors generally look brighter and bolder than with the matte finish of the previous models.â And he praises the new keyboard: âThe most revolutionary design associated with the new iMac is its super-slim aluminum keyboard.The keys are flat, not raised, much like on Appleâs MacBook notebooks, and the whole board is just a third of an inch thick. The keys are a tad bit wider than the old Apple keys, and very easy to type on.â",5,2007-08-24 18:36:50
71,Reuters,Billionaire Perelman appeals Morgan Stanley decision,NEW YORK (Reuters) - U.S. billionaire Ronald Perelman has gone to Florida's highest state court to overturn an appeals court ruling that stripped him of a $1.58 billion jury award against Morgan Stanley .,5,2007-07-06 20:48:54
72,San,Drug discount plan seen as ploy to derail import bills,SACRAMENTO  Legislators and consumer advocates criticized Gov. Arnold Schwarzenegger&#39;s drug discount plan yesterday as a decoy intended to thwart their efforts to lower the cost of prescription drugs by opening access to Canadian ...,5,0000-00-00 00:00:00
73,\N,Robbie Williams is out of rehab,Singer Robbie Williams is out of rehab after three weeks of treatment for a dependency on prescription drugs.,5,2007-03-07 12:10:34
74,Washington,Top Economic Adviser to Bush Is Leaving Post,"The departure Tuesday of Stephen Friedman, who left Wall Street to assume one of the top economic posts in the White House as director of the National Economic Council, will open a key economic policy position just as President Bush begins his ambitious push to overhaul Social Security and the tax code.",5,2004-11-24 08:25:19
75,RedNova,Anousheh Ansari Launches Prodea Systems; Entrepreneurial Family Unveils New Company Focused on Simplifying the Digital Home,"Anousheh, Hamid, and Amir Ansari, entrepreneurs with an innovative approach to building companies that transform the marketplace, have established Prodea Systems, Inc., to focus on significantly enhancing the digital home experience.",4,2006-09-18 18:09:38
76,CNET,BlackBerrys sync with Mac OS X,New software synchronizes Research In Motion devices with Mac OS X.,3,0000-00-00 00:00:00
77,Reuters,U.S. intelligence paints gloomy picture of Iraq,"BAGHDAD (Reuters) - U.S. intelligence experts painted a gloomy picture of Iraq, saying in a report seen on Friday sectarian bloodshed had surpassed the threat from al Qaeda and warning of the consequences of a rapid U.S. withdrawal.",5,2007-02-02 22:44:51
78,Regional,UGANDA: Govât orders unilateral truce in the north,"KAMPALA, 15 Nov 2004 (IRIN) - The Ugandan government has announced a unilateral one-week cessation of the military offensive against the rebels of the Lord&#39;s Resistance Army (LRA) in the northern region, in a move that could help end one of Africa&#39;s most ",5,0000-00-00 00:00:00
79,New,Hunter Tells Police He Was Threatened,The Hmong-American man being held in the killings of six hunters and the wounding of two others in Wisconsin has told the police that he opened fire after the hunters ,5,0000-00-00 00:00:00
80,New,Consumer Prices Grew in September and Housing Starts Slid 6%,"A decline in some prices tempered a rise in costs for medical care, gasoline and fuel oil. Housing construction fell by 6 percent.",5,0000-00-00 00:00:00
81,Yahoo,"Europe sweltering in record heat wave \
    (AP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/ap/20060720/ap_on_re_mi_ea/europe_heat_wave""><img src=""http://d.yimg.com/us.yimg.com/p/ap/20060719/capt.08cccf3d8f9d4d6a8fa3e93c24731cc0.france_weather_cir102.jpg?x=130&y=89&sig=45kkNulsc6ztuXCrfGfgyQ--"" align=""left"" height=""89"" width=""130"" alt=""Children play in the middle of fountains at the main square of Antibes, southern France, Wednesday, July 19th, 2006. French authorities issued an orange alert, the third-highest in a heat measuring scale ranging from lowest, green, to highest, red, as temperatures soared to 36C (96.8F) in many parts of the country. (AP Photo/Lionel Cironneau)"" border=""0"" /></a>AP - Lions licked blood-flavored ice blocks in the zoo, judges went wigless in court and guards at Buckingham Palace ducked into the shade.</p><br clear=""all""/>",5,2006-07-20 05:11:44
82,RedNova,[ Bush's Talk on Iran Has a Familiar Ring... ],"Bush's talk on Iran has a familiar ring  For all Americans who do not remember the progression to war in Iraq, I remind you now that just prior to the Iraq invasion, President Bush was saying delay would bring consequences.",3,2006-09-20 23:26:35
83,San,"Closest governor&#39;s race: It&#39;s Governor-elect Gregoire, but Rossi <b>...</b>","Democrat Christine Gregoire, the three-term state attorney general who fought America&#39;s tobacco industry, Internet porn and schoolyard bullying, becomes Washington&#39;s governor-elect on Thursday, by a scant 129 votes out of more than 2.8 million cast.",5,0000-00-00 00:00:00
84,Channel,Deposed leader Estrada slams Philippine President Arroyo at <b>...</b>,"MANILA: Deposed Philippines leader Joseph Estrada on Wednesday used the funeral of his movie star friend and defeated presidential candidate, Fernando Poe, to attack the incumbent president.",5,0000-00-00 00:00:00
85,BBC,Bank voted 6-3 to increase rates,"Policymakers at the Bank of England voted 6-3 to raise UK interest rates to 5.75% this month, minutes show.",5,2007-07-18 13:26:39
86,BBC,Losing start for Charlotte,"The NBA returned to Charlotte after a two-year absence, but the Bobcats could not start in style, losing 103-96 to the Washington Wizards.",5,0000-00-00 00:00:00
87,BBC,Heads launch Ofsted watch,"Head teachers in England launch ""Offwatch"" to monitor unprofessional Ofsted inspectors.",5,2006-09-23 04:15:33
88,New,Greenspan Issues Warning on Retirement Benefits,"The chairman of the Federal Reserve, Alan Greenspan, warned today that the Federal government might have to scale back promises to the elderly in programs like Social Security and Medicare.",5,0000-00-00 00:00:00
89,Yahoo,"Pfizer CEO still weighing fate of consumer unit \
    (Reuters)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/business/*http://news.yahoo.com/s/nm/20060615/bs_nm/pfizer_dc""><img src=""http://us.news3.yimg.com/us.i2.yimg.com/p/nm/20060614/2006_06_14t085313_450x301_us_pfizer.jpg?x=130&amp;y=86&amp;sig=4h65NEW4IheR8q8QE.ZABQ--"" align=""left"" height=""86"" width=""130"" alt=""The entrance of Pfizer world headquarters in New York City is seen in this August 31, 2003 file photo. Drugmakers Pfizer Inc. and Bayer AG on Wednesday said they struck a deal that grants Pfizer worldwide rights to Bayer's potential treatments for obesity and diabetes. (Jeff Christensen/Reuters)"" border=""0"" /></a>Reuters - Pfizer Inc.&#039;s  chief executive \
said on Thursday he was not leaning either way on whether the \
world&#039;s top drug maker would spin-off or sell its consumer \
products business.</p><br clear=all>",5,2006-06-15 12:15:24
90,CTV,Oil giant Yukos files for bankruptcy in the US,"Russian oil giant Yukos has filed for bankruptcy protection in the United States, hoping to keep Russian authorities from auctioning off its main production subsidiary.",5,0000-00-00 00:00:00
91,Yahoo,"Nash shines as NBA Suns roll over Bucks \
    (AFP)\
","<p><a href=""http://us.rd.yahoo.com/dailynews/rss/sports/*http://news.yahoo.com/s/afp/20080123/sp_afp/basketnbasunsbucks""><img src=""http://d.yimg.com/us.yimg.com/p/afp/20080123/capt.sge.axm23.230108061257.photo00.photo.default-341x512.jpg?x=86&y=130&q=85&sig=N8wTlhJnOTdBqn_rsdPyKg--"" align=""left"" height=""130"" width=""86"" alt=""Steve Nash (R) of the Phoenix Suns drives to the basket against Yi Jianlian of the Milwaukee Bucks, on January 22, at the Bradley Center in Milwaukee, Wisconsin. Nash scored a season-high 37 points and dished out 10 assists as the Suns registered a 114-105 win.(AFP/GettyImages/Gary Dineen)"" border=""0"" /></a>AFP - Phoenix's Canadian star Steve Nash scored a season-high 37 points and dished out 10 assists as the Suns registered a 114-105 win Tuesday over the Milwaukee Bucks.</p><br clear=""all""/>",5,2008-01-23 08:09:30
